Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
zwölf_2	4573	'12, zwölf'	(Zahlwort) zwölf (12)	2	a	•			•		4573	1
zwölf_3	27	'12, zwölf'	'(Zahlwort) zwölf, 12'	2	a			•			27	1
zwölf_4	6512	'12, zwölf'	'(Zahl) zwölf, 12'	2	a		•				6512	1
achtundzwanzig	2432	'28, achtundzwanzig'	(Zahlwort) achtundzwanzig (28)	2	b	•	•	•	•	•	2432	1
besuchen	757	'besuchen, Besuch'	'(V.) besuchen  (N.) Besuch, auf Besuch gehen'	2	b	•	•	•	•	•	757	1
Deutsch	818	'Deutsch, deutsch '	'(N., Namen) Deutsch (Sprache)  (Adj.) deutsch    '	2	b	•	•	•	•	•	818	1
Dozent	1741	Dozent	(N.) Dozent (Lehrperson)	2	b	•	•	•	•	•	1741	1
dreissig_1	6527	'30, dreissig'	(Zahlwort) dreissig (30)	2	b	•	•	•		•	6527	1
dreissig_2	4995	'30, dreissig'	'(Zahlwort) dreissig, 30'	2	b				•		4995	1
dreiundzwanzig	6523	'23, dreiundzwanzig'	(Zahlwort) dreiundzwanzig (23)	2	b	•	•	•	•	•	6523	1
einundzwanzig	6521	'21, einundzwanzig'	(Zahlwort) einundzwanzig (21)	2	b	•	•	•	•	•	6521	1
Englisch	816	'Englisch, englisch'	'(N., Namen) Englisch (Sprache)  (Adj.) englisch  '	2	b	•	•	•	•	•	816	1
faul	824	'faul, bequem, träge'	'(Adj.) faul, bequem, träge (Charakter)  z.B. jmd. ist ein fauler Hund, ein Faultier sein, jmd rührt keinen Finger'	2	b	•	•	•	•	•	824	1
fleissig	5375	'fleissig, arbeitsam, tüchtig, eifrig, emsig'	'(Adj.). fleissig, arbeitsam, tüchtig, eifrig, emsig'	2	b	•	•	•	•	•	5375	1
Französisch_1	5450	'Französisch, französisch'	'(N., Namen) Französisch (Sprache)  (Adj.) französisch'	2	b	•	•	•		•	5450	1
Französisch_2	6107	'Französisch, französisch'	'(N., Namen) Französisch (Sprache)  (Adj.) französisch'	2	b				•		6107	1
fünfundzwanzig	6525	'25, fünfundzwanzig'	(Zahlwort) fünfundzwanzig (25)	2	b	•	•	•	•	•	6525	1
Gebärdensprache	819	Gebärdensprache	(N.) Gebärdensprache	2	b	•	•	•	•	•	819	1
